 -- Frame 394 Framerate: 124.5 [Very Good Framerate]
 -- Frame 395 Framerate: 106.3 [Very Good Framerate]
 -- Frame 396 Framerate: 110.1 [Very Good Framerate]
 -- Frame 397 Framerate: 88.0 [Very Good Framerate]
 -- Frame 398 Framerate: 89.8 [Very Good Framerate]
 -- Frame 399 Framerate: 105.2 [Very Good Framerate]
 -- Frame 400 Framerate: 103.8 [Very Good Framerate]
 -- Frame 401 Framerate: 110.0 [Very Good Framerate]
 -- Frame 402 Framerate: 83.6 [Very Good Framerate]
 -- Frame 403 Framerate: 73.5 [Very Good Framerate]
 -- Frame 404 Framerate: 155.3 [Very Good Framerate]
 -- Frame 405 Framerate: 74.4 [Very Good Framerate]
 -- Frame 406 Framerate: 75.0 [Very Good Framerate]
 -- Frame 407 Framerate: 80.3 [Very Good Framerate]
 -- Frame 408 Framerate: 85.1 [Very Good Framerate]
 -- Frame 409 Framerate: 78.9 [Very Good Framerate]
 -- Frame 410 Framerate: 75.1 [Very Good Framerate]
 -- Frame 411 Framerate: 76.1 [Very Good Framerate]
 -- Frame 412 Framerate: 77.3 [Very Good Framerate]
 -- Frame 413 Framerate: 75.3 [Very Good Framerate]
 -- Frame 414 Framerate: 81.7 [Very Good Framerate]
 -- Frame 415 Framerate: 79.1 [Very Good Framerate]
 -- Frame 416 Framerate: 76.5 [Very Good Framerate]
 -- Frame 417 Framerate: 77.0 [Very Good Framerate]
 -- Frame 418 Framerate: 77.2 [Very Good Framerate]
 -- Frame 419 Framerate: 76.6 [Very Good Framerate]
 -- Frame 420 Framerate: 75.7 [Very Good Framerate]
 -- Frame 421 Framerate: 77.6 [Very Good Framerate]
 -- Frame 422 Framerate: 74.8 [Very Good Framerate]
 -- Frame 423 Framerate: 75.6 [Very Good Framerate]
 -- Frame 424 Framerate: 76.8 [Very Good Framerate]
 -- Frame 425 Framerate: 76.7 [Very Good Framerate]
 -- Frame 426 Framerate: 76.2 [Very Good Framerate]
 -- Frame 427 Framerate: 76.1 [Very Good Framerate]
 -- Frame 428 Framerate: 78.2 [Very Good Framerate]
 -- Frame 429 Framerate: 75.1 [Very Good Framerate]
 -- Frame 430 Framerate: 76.0 [Very Good Framerate]
 -- Frame 431 Framerate: 72.0 [Very Good Framerate]
 -- Frame 432 Framerate: 63.8 [Very Good Framerate]
 -- Frame 433 Framerate: 99.3 [Very Good Framerate]
 -- Frame 434 Framerate: 80.0 [Very Good Framerate]
 -- Frame 435 Framerate: 76.5 [Very Good Framerate]
 -- Frame 436 Framerate: 76.7 [Very Good Framerate]
 -- Frame 437 Framerate: 75.9 [Very Good Framerate]
 -- Frame 438 Framerate: 76.4 [Very Good Framerate]
 -- Frame 439 Framerate: 77.6 [Very Good Framerate]
 -- Frame 440 Framerate: 77.5 [Very Good Framerate]
 -- Frame 441 Framerate: 79.3 [Very Good Framerate]
 -- Frame 442 Framerate: 75.9 [Very Good Framerate]
 -- Frame 443 Framerate: 77.8 [Very Good Framerate]
 -- Frame 444 Framerate: 73.9 [Very Good Framerate]
 -- Frame 445 Framerate: 73.8 [Very Good Framerate]
 -- Frame 446 Framerate: 72.7 [Very Good Framerate]
 -- Frame 447 Framerate: 75.3 [Very Good Framerate]
 -- Frame 448 Framerate: 73.1 [Very Good Framerate]
 -- Frame 449 Framerate: 78.2 [Very Good Framerate]
 -- Frame 450 Framerate: 73.2 [Very Good Framerate]
 -- Frame 451 Framerate: 72.6 [Very Good Framerate]
